"no","id","symbol","name","date_achat","montant","portefeuille","wallet","exchange","date_verification","observation"
"31212","paypal-usd
","pyusd","PayPal USD",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"34289","manta-network","manta","Manta Network","1970-01-01","0","0",,,"1970-01-01","Launchpad"
"26580","ondo-finance","ondo","Ondo","2024-05-14","0.8056170075","418.91243306","Rabby Gate.io Ethereum(342.73)+Rabby Ledger Ethereum(76,18243306)",,"2026-05-28",
"22228","threshold-network-token","t","Threshold Network",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"31385","ozone-chain","ozo","Ozone Chain",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"26718","zetachain","zeta","ZetaChain",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"31745","aerodrome-finance","aero","Aerodrome Finance","1970-01-01","0","0",,,"1970-01-01",
"37754","io","io","io.net","1970-01-01","0","0",,,"1970-01-01","Launchpad"
"36530","Ethena","ena","Ethena",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"51301","peanut-the-squirrel","pnut","Peanut the Squirrel",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"37812","mocaverse","moca","Moca Coin",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"38068","lista","lista","Lista DAO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"32417","beam","beam","BEAM",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35529","brett","brett","Brett",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"39488","neiro","neiro","Neiro",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"531","stratis","strax","Stratis",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"50717","goatseus-maximus","goat","Goatseus Maximus",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"40094","grass","grass","Grass",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"30256","cetus-protocol","cetus","Cetus Protocol",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"13422","frax","frax","Legacy Frax Dollar",NULL,NULL,NULL,NULL,NULL,NULL,NULL
